trial,coverage,system_acc,expert_acc,classifier_acc
1,0.566797,0.722363,0.784982,0.673150
2,0.515820,0.627734,0.733981,0.529517
3,0.529297,0.661133,0.762935,0.575098
4,0.763965,0.779590,0.790573,0.778743
5,0.475293,0.792285,0.833260,0.746121
6,0.491797,0.820117,0.827786,0.803464
7,0.652051,0.782031,0.844910,0.750408
8,0.662305,0.685156,0.752553,0.642592
9,0.465527,0.579883,0.683832,0.478050
10,0.536133,0.655469,0.767021,0.557599
11,0.654590,0.779395,0.807967,0.762162
12,0.431055,0.724023,0.821247,0.594618
13,0.443066,0.765527,0.832696,0.674780
14,0.426465,0.755664,0.835391,0.644763
15,0.458887,0.741602,0.742587,0.737096
16,0.727734,0.743164,0.724794,0.748036
17,0.417773,0.682129,0.859765,0.450135
18,0.821875,0.805469,0.746041,0.814092
19,0.662305,0.791113,0.799019,0.785634
20,0.462988,0.746094,0.831053,0.650508
21,0.727930,0.802637,0.799381,0.805384
22,0.405762,0.789258,0.834855,0.722318
23,0.750781,0.725586,0.740847,0.717168
24,0.499512,0.717383,0.771953,0.661734
25,0.632422,0.638965,0.800661,0.552291
26,0.585547,0.702441,0.641963,0.657060
27,0.604102,0.759863,0.751836,0.766425
28,0.517480,0.655078,0.794241,0.534124
29,0.694238,0.759961,0.777879,0.752215
30,0.633691,0.738770,0.760139,0.727170
31,0.534375,0.736523,0.819283,0.656439
32,0.524902,0.646484,0.730455,0.579480
33,0.696289,0.729785,0.752716,0.730567
34,0.339355,0.667480,0.795483,0.469376
35,0.624219,0.703027,0.758162,0.659198
36,0.429395,0.695410,0.803929,0.540574
37,0.587402,0.683594,0.729312,0.650541
38,0.500684,0.792090,0.808859,0.775688
39,0.791406,0.701758,0.724778,0.695628
40,0.482422,0.745801,0.806714,0.672767
41,0.516602,0.787402,0.806467,0.743115
42,0.566504,0.644141,0.761791,0.552871
43,0.628320,0.652051,0.776469,0.579061
44,0.580859,0.691016,0.765392,0.638271
45,0.663477,0.559277,0.672516,0.511347
46,0.465234,0.766895,0.775682,0.746837
47,0.529004,0.698926,0.753320,0.656369
48,0.510449,0.749707,0.782828,0.712230
49,0.322363,0.693359,0.797085,0.471844
50,0.569922,0.758496,0.799887,0.742536
51,0.594434,0.711328,0.729665,0.699358
52,0.722656,0.763379,0.792804,0.748159
53,0.449316,0.776758,0.830059,0.692509
54,0.512305,0.721973,0.806286,0.656324
55,0.505078,0.670898,0.814436,0.525384
56,0.554395,0.705078,0.728772,0.678726
57,0.617480,0.721094,0.734597,0.714324
58,0.324805,0.771094,0.822650,0.661375
59,0.390234,0.755664,0.830294,0.558791
60,0.535645,0.706738,0.810525,0.619178
61,0.476855,0.752051,0.789340,0.700714
62,0.513086,0.746289,0.774380,0.739812
63,0.573730,0.750684,0.783411,0.726428
64,0.471875,0.707715,0.760093,0.646915
65,0.611523,0.680078,0.732133,0.635847
66,0.710254,0.710254,0.718942,0.707442
67,0.754883,0.690625,0.734072,0.677733
68,0.555859,0.735547,0.766475,0.683426
69,0.642676,0.707324,0.766017,0.677619
70,0.313574,0.747754,0.801294,0.626982
71,0.689648,0.737988,0.780014,0.716510
72,0.557813,0.756152,0.769925,0.723149
73,0.540137,0.707129,0.750066,0.660916
74,0.558789,0.779980,0.823163,0.746105
75,0.609570,0.764746,0.754770,0.770273
76,0.490723,0.577051,0.702590,0.452029
77,0.736914,0.783008,0.813746,0.774673
78,0.420410,0.752637,0.812123,0.648592
79,0.352148,0.784473,0.836205,0.679317
80,0.413672,0.790039,0.828220,0.737931
81,0.472559,0.619434,0.835492,0.367287
82,0.713379,0.746289,0.697950,0.754164
83,0.671094,0.764844,0.750793,0.765595
84,0.346582,0.726270,0.806750,0.573773
85,0.648145,0.694238,0.723758,0.679348
86,0.496582,0.749219,0.777968,0.722132
87,0.736133,0.763379,0.767634,0.762049
88,0.547070,0.729785,0.775528,0.693913
89,0.526855,0.742285,0.833011,0.665842
90,0.499414,0.731250,0.798878,0.672547
91,0.476367,0.695898,0.749431,0.650073
92,0.522656,0.755859,0.800619,0.704770
93,0.407129,0.733203,0.837103,0.568315
94,0.620801,0.722754,0.798858,0.690791
95,0.567090,0.745508,0.817504,0.689697
96,0.515137,0.774316,0.825442,0.724889
97,0.557422,0.746484,0.736905,0.753764
98,0.370508,0.747461,0.837190,0.594864
99,0.593359,0.744336,0.787912,0.712678
100,0.519336,0.752344,0.768241,0.737936
101,0.449023,0.774609,0.811426,0.747127
102,0.367090,0.746582,0.820310,0.554455
103,0.447559,0.789160,0.828190,0.724553
104,0.516504,0.738086,0.781798,0.690589
105,0.551660,0.682324,0.722287,0.652318
106,0.699805,0.788867,0.728894,0.811164
107,0.472852,0.676660,0.774646,0.564787
108,0.521191,0.586133,0.771922,0.420403
109,0.536035,0.647852,0.777779,0.542570
110,0.293652,0.761914,0.852993,0.528319
111,0.303223,0.740820,0.835832,0.522766
112,0.454395,0.777832,0.805439,0.748350
113,0.412891,0.807422,0.841705,0.759098
114,0.537793,0.730957,0.749046,0.712772
115,0.440234,0.665625,0.782818,0.520276
116,0.430859,0.740625,0.817964,0.648482
117,0.639355,0.705078,0.758641,0.676679
118,0.416602,0.689941,0.830946,0.493323
119,0.754199,0.754102,0.763854,0.749094
120,0.585742,0.753223,0.810942,0.714189
121,0.527148,0.759570,0.802419,0.700635
122,0.352832,0.769336,0.847602,0.622150
123,0.481641,0.691406,0.728364,0.603171
124,0.497559,0.759863,0.814758,0.704411
125,0.525879,0.713770,0.762941,0.665653
126,0.520996,0.807422,0.817852,0.803001
127,0.468945,0.644141,0.760635,0.511785
128,0.441309,0.822168,0.841583,0.799995
129,0.570703,0.767871,0.795309,0.746395
130,0.520410,0.767676,0.828478,0.711657
131,0.713867,0.714648,0.753178,0.699985
132,0.478613,0.770801,0.795189,0.747043
133,0.470020,0.734766,0.735123,0.728888
134,0.711230,0.723730,0.709206,0.729866
135,0.728027,0.752051,0.808433,0.734895
136,0.597754,0.791309,0.834980,0.738971
137,0.518359,0.715918,0.737218,0.676477
138,0.513379,0.725977,0.809615,0.659950
139,0.495508,0.725879,0.759417,0.694433
140,0.321289,0.773242,0.822264,0.665644
141,0.400000,0.730762,0.797425,0.638143
142,0.505273,0.718555,0.777222,0.663446
143,0.534766,0.730273,0.819956,0.649859
144,0.387793,0.732910,0.817963,0.567028
145,0.600879,0.670215,0.706870,0.645402
146,0.586914,0.684180,0.736068,0.643451
147,0.610449,0.766699,0.804371,0.740976
148,0.548633,0.676367,0.764960,0.600807
149,0.491406,0.732031,0.756362,0.707329
150,0.549902,0.700977,0.787718,0.627711
151,0.432031,0.688574,0.811771,0.541205
152,0.537988,0.747363,0.801616,0.704432
153,0.494629,0.785742,0.816982,0.752736
154,0.577148,0.686914,0.755348,0.636475
155,0.493652,0.766406,0.840082,0.687981
156,0.548145,0.757715,0.848214,0.680128
157,0.500293,0.768359,0.817477,0.724597
158,0.490039,0.816895,0.845458,0.789488
159,0.567383,0.675781,0.795710,0.584318
160,0.388965,0.692969,0.801129,0.510924
161,0.441309,0.815820,0.827799,0.813845
162,0.562109,0.590820,0.723645,0.485363
163,0.592871,0.695703,0.747176,0.652853
164,0.416406,0.783398,0.831053,0.716943
165,0.337793,0.796387,0.836779,0.733682
166,0.533301,0.790430,0.841986,0.742154
167,0.625879,0.815137,0.797660,0.823407
168,0.597070,0.719629,0.821919,0.671664
169,0.566992,0.689160,0.726570,0.659959
170,0.331445,0.782031,0.833669,0.704387
171,0.599219,0.746680,0.727794,0.760555
172,0.533496,0.707227,0.843153,0.589012
173,0.474805,0.715430,0.774359,0.643615
174,0.748730,0.755371,0.766046,0.751726
175,0.503906,0.639355,0.695334,0.584491
176,0.757031,0.741113,0.721817,0.748922
177,0.587793,0.671191,0.667500,0.672921
178,0.744043,0.791699,0.781985,0.796897
179,0.387402,0.687500,0.764192,0.563897
180,0.642383,0.600195,0.714796,0.535095
181,0.547656,0.764453,0.777730,0.749190
182,0.502246,0.715234,0.780010,0.673334
183,0.511914,0.768262,0.781537,0.746954
184,0.483301,0.769922,0.844967,0.685711
185,0.575977,0.777930,0.813864,0.747196
186,0.500000,0.668848,0.737084,0.593444
187,0.431348,0.777148,0.835645,0.698155
188,0.540039,0.639160,0.727612,0.555191
189,0.503906,0.705859,0.796208,0.624694
190,0.621387,0.745117,0.738009,0.749981
191,0.509668,0.731348,0.807983,0.631817
192,0.414258,0.695215,0.806012,0.543370
193,0.538281,0.747168,0.742410,0.745150
194,0.671777,0.707715,0.737928,0.694863
195,0.703613,0.725293,0.740845,0.727047
196,0.434668,0.809375,0.849794,0.752426
197,0.590332,0.632129,0.734597,0.599565
198,0.500488,0.789160,0.829757,0.748933
199,0.743848,0.738770,0.736815,0.740659
200,0.498633,0.766016,0.754187,0.757395
